
id, amount
6790057285814061057,8010000
6881287666340481026,500000
6881107586830076678,4000100
6649693417590754053,545432
6873639087861942273,556838
6893870343761496834,899493
6850266942448683782,6000000
249539203825504256,2000000
6892161420423596034,5000412
222500945169997824,4543256
6837446677348027141,432678
6907334593603554053,678426
6844542304192088833,678325
6899533138922670850,123678
6568746626930871041,657433
6867335919502936838,938593
6877671671927425798,1000456
6724958012198439686,667332
6893611763158272769,556743
6586947002464996102,9000451
6857905964893440769,8000245
6792987346171070465,7123600
6871457877022739201,10000123
6795196970278324998,115356
6757175376029435905,
6847647314127932166,
6893119955223546625,
6884688837650483970,
6757035844780967938,
6901020142025984769,
6898035926161689346,
6892365012652854018,
6895372307825707778,
6869403344385870593,
6905761514956212994,
6847647314127932166,
6677864212619856641,
6869575672570891014,
6864247805255469830,
6530624649733084175,
6859447951941831430,
6714306299397458693,
6876997302431615749,
6848744596168968965,
6903708868510059269,
6590643178271935238,
6619694802206198533,
6685871967402199814,
6895453111335291650,
6897902172550613761,
6865433946918750209,
6908111350099151621,
6787142896177924097,
6863372347101939714,
6886040556707776514,
6876760433446259458,
6714732185141659650,
6877070753783630594,
6753986712168319750,
6900834517766916865,
6906466106798623489,
6892065351417285382,
6703219153760684033,
6750642513641474050,
6859186494620355333,
6883297755284949765,
6594233508997106433,
6899533138922670850,
6741350433547111169,
6890166736776137474,
249980696029483008,
222529058650066944,
6825315816469662469,
6657098817701251845,
6892406271707089666,
6799964254343678726,
6886011508921289474,
6799762234638600193,
6886383959240870657,
6878433202944346885,
6881627204535454465,
6883070152963918593,
6733070604376737794,
6908543787132324613,
6790815244194154497,
6773579616230574854,
6885394577570679553,
6862052996918954757,
6897335231204952837,
6881382384315419394,
6827139849636547334,
6879777332899498757,
6863214295757490950,
6870021399117941510,
6878360076621908737,
6893282722349976322,
6892161420423596034,
5000000001296853197,
6732309265052125185,
6817546286670022657,
6878128942629358342,
6804093117843770118,
6549010971711525888,
6892161420423596034,
6865497355236494085,
6783518343648348933,
6871760635693107202,
6704831357714958338,
6787078702082607878,
6904338593632815877,
6817608289770014722,
6896165289411578626,
6872083959191177218,
6891293854650174209,
